PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
-5 -4 -3 -2 -1 1 2 3 4 5 21
0.00000E+00 0.00000E+00 -2.72638E-02 1.25682E+00 1.10956E+00 1.10984E+00 1.25685E+00 -3.01360E-02 0.00000E+00 0.00000E+00 -1.08469E+00 
0.00000E+00 0.00000E+00 -4.11004E-03 1.27307E+00 1.12635E+00 1.12665E+00 1.27312E+00 -7.02021E-03 0.00000E+00 0.00000E+00 -3.98322E-01 
0.00000E+00 1.69686E-02 3.17845E-02 1.30206E+00 1.15588E+00 1.15620E+00 1.30214E+00 2.88359E-02 1.69686E-02 0.00000E+00 4.95525E-01 
0.00000E+00 6.77303E-02 8.25712E-02 1.34594E+00 1.20030E+00 1.20064E+00 1.34604E+00 7.95835E-02 6.77303E-02 0.00000E+00 1.63165E+00 
0.00000E+00 1.36907E-01 1.51774E-01 1.40814E+00 1.26305E+00 1.26342E+00 1.40826E+00 1.48746E-01 1.36907E-01 0.00000E+00 3.12262E+00 
0.00000E+00 2.27849E-01 2.42743E-01 1.49202E+00 1.34750E+00 1.34789E+00 1.49217E+00 2.39674E-01 2.27849E-01 0.00000E+00 5.06806E+00 
0.00000E+00 3.44364E-01 3.59286E-01 1.60140E+00 1.45745E+00 1.45787E+00 1.60158E+00 3.56175E-01 3.44364E-01 0.00000E+00 7.58961E+00 
0.00000E+00 4.54781E-01 4.69726E-01 1.70624E+00 1.56274E+00 1.56318E+00 1.70645E+00 4.66582E-01 4.54781E-01 0.00000E+00 1.00279E+01 
0.00000E+00 4.90762E-01 5.05713E-01 1.74059E+00 1.59722E+00 1.59767E+00 1.74080E+00 5.02559E-01 4.90762E-01 0.00000E+00 1.08336E+01 
0.00000E+00 6.87731E-01 7.02714E-01 1.92971E+00 1.78698E+00 1.78746E+00 1.92995E+00 6.99513E-01 6.87731E-01 0.00000E+00 1.53421E+01 
0.00000E+00 9.32121E-01 9.47137E-01 2.16618E+00 2.02410E+00 2.02461E+00 2.16646E+00 9.43888E-01 9.32121E-01 0.00000E+00 2.11528E+01 
